Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
"RT @GuatemalaGob: El presidente @DrGiammattei participa en reunión de trabajo con su homólogo de Honduras, Juan Orlando Hernández, en Casa…",https://twitter.com/i/web/status/1327313912400842756,13/11/2020 12:14:31,Twitter Web App,0,2,MINEX Guatemala 🇬🇹,12:14:31,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
"RT @OPSOMSBolivia: La #diabetes, si no es diagnosticada o controlada daña el corazón, vasos sanguíneos, ojos, riñones y nervios, y causa di…",https://twitter.com/i/web/status/1327313954067132416,13/11/2020 12:14:41,Twitter for iPhone,0,4,OPS/OMS,12:14:41,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPASOMSBrasil: Conheça o senhor X, que depois de tanto sofrer com os malefícios do cigarro, decidiu parar de fumar. 

O segundo capítul…",https://twitter.com/i/web/status/1327313972186525696,13/11/2020 12:14:45,Twitter for iPhone,0,5,OPS/OMS,12:14:45,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSOMSMexico: Acompañamos al Gobernador de Chiapas, el Secretario de Salud del estado y al Director de Cenaprece en la entrega de equip…",https://twitter.com/i/web/status/1327314491680436225,13/11/2020 12:16:49,Twitter for iPhone,0,3,OPS/OMS,12:16:49,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSOMS_Honduras: #Ahora participamos en reunión de emergencia con Ministra de Salud @AlbaConsueloFl1, @RSD_CORTES para definir acciones…",https://twitter.com/i/web/status/1327314516787535874,13/11/2020 12:16:55,Twitter for iPhone,0,4,OPS/OMS,12:16:55,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSGuate: ¿Sabes cuál es la importancia de la vacunas contra la gripe? Uno de los mitos de la enfermedad es que no es grave, ¡pero eso…",https://twitter.com/i/web/status/1327314533766017024,13/11/2020 12:16:59,Twitter for iPhone,0,3,OPS/OMS,12:16:59,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
RT @OPSOMS_Honduras: Equipo de @saludhn y de OPS se preparan para instalar la célula de información automatizada (CICOM) y llamamiento a Eq…,https://twitter.com/i/web/status/1327314545837223939,13/11/2020 12:17:02,Twitter for iPhone,0,2,OPS/OMS,12:17:02,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSOMS_Honduras: La Dra. Rosa Elena Mejía, consultora nacional del área de Enfermedades Transmisibles y Vigilancia Epidemiológica nos e…",https://twitter.com/i/web/status/1327314614934265857,13/11/2020 12:17:19,Twitter for iPhone,0,5,OPS/OMS,12:17:19,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSOMS_Col: ¡La #diabetes tipo 2 se puede prevenir!

Sigue una alimentación saludable 🥗, realiza regularmente ejercicio físico 👟👟, mant…",https://twitter.com/i/web/status/1327314746450862083,13/11/2020 12:17:50,Twitter for iPhone,0,10,OPS/OMS,12:17:50,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @GuatemalaGob: En una visita oficial a Guatemala, el presidente de Honduras, Juan Orlando Hernández, junto a su comitiva oficial, arriba…",https://twitter.com/i/web/status/1327319386487726081,13/11/2020 12:36:16,Twitter Web App,0,2,MINEX Guatemala 🇬🇹,12:36:16,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
"#ControlMigratorio | Compartimos información sobre la salida de menores de edad del país, vía aérea, terrestre y ma… https://t.co/b3mfL4QTTD",https://twitter.com/i/web/status/1327325657932705794,13/11/2020 13:01:12,Hootsuite Inc.,2,0,Migración Guatemala,13:01:12,http://pbs.twimg.com/profile_images/1290300788347146241/7sOKfiDS.jpg
RT @DrGiammattei: Evaluaremos la iniciativa de Honduras de los Fondos Verdes para la constitución de créditos de seguro agrícola y de infra…,https://twitter.com/i/web/status/1327328047406718976,13/11/2020 13:10:41,Twitter Web App,0,23,MINEX Guatemala 🇬🇹,13:10:41,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
RT @DrGiammattei: En la reunión con el presidente @JuanOrlandoH participaron funcionarios de distintas instituciones para intercambiar info…,https://twitter.com/i/web/status/1327328072014696451,13/11/2020 13:10:47,Twitter Web App,0,26,MINEX Guatemala 🇬🇹,13:10:47,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
